Municipio,Fecha,Total_confirmados,Total_activos,Total_recuperado,Total_fallecido
BERMEJO,2021-03-27,2000,293,1650,57
CARAPARÍ,2021-03-27,798,69,722,7
ENTRE RIOS (LA MORETA),2021-03-27,456,75,379,2
PADCAYA,2021-03-27,626,78,546,2
SAN LORENZO,2021-03-27,824,93,723,8
TARIJA,2021-03-27,12705,1976,10394,335
TOMAYAPO (EL PUENTE),2021-03-27,214,16,196,2
URIONDO,2021-03-27,337,75,259,3
VILLAMONTES,2021-03-27,1826,260,1516,50
YACUIBA,2021-03-27,2918,771,2019,128
YUNCHARA,2021-03-27,61,4,55,2
